step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
1,2023-07-03 08:00:14.385899379,1,194.05,238.0,-0.44603232322317266,0.17959252322317262,0.25,0.0164398
7,2023-07-03 08:00:30.451005195,2,194.01,64.0,-0.19212601820430728,0.025398218204301576,0.15000000000000568,0.0167278
16,2023-07-03 08:00:47.317729998,2,194.1,106.0,-0.09678041803554471,0.08031621803554471,0.0,0.0164642
18,2023-07-03 08:00:57.325590403,2,194.1,68.0,-0.08323204241218188,0.056792142412190966,0.009999999999990905,0.0164399
64,2023-07-03 08:03:10.228192897,1,194.2,125.0,-0.04183161820430158,0.025398218204301576,0.0,0.0164334
66,2023-07-03 08:03:20.664115447,1,194.19,215.0,-0.23893063916728288,0.21249673916729198,0.009999999999990905,0.0164339
68,2023-07-03 08:03:21.985283743,2,194.2,178.0,-0.21961894563441262,0.2031857456344126,0.0,0.0164332
69,2023-07-03 08:03:24.714056048,2,194.2,105.0,-0.041825818204301576,0.025398218204301576,0.0,0.0164276
75,2023-07-03 08:03:30.071949082,1,194.13,172.0,-0.11186681820429475,0.025398218204301576,0.06999999999999318,0.0164686
88,2023-07-03 08:04:22.775930851,2,194.25,62.0,-0.2706928820430158,0.25398218204301576,0.0,0.0167107
92,2023-07-03 08:04:48.444245797,1,194.18,245.0,-0.15321794241217507,0.056792142412190966,0.07999999999998408,0.0164258
96,2023-07-03 08:04:54.138834554,2,194.15,161.0,-0.16238360464461976,0.03591850464463453,0.10999999999998522,0.0164651
105,2023-07-03 08:05:13.717864037,1,194.13,246.0,-0.23103776012723787,0.08423636012724241,0.12999999999999545,0.0168014
109,2023-07-03 08:05:13.717864037,2,194.12,207.0,-0.23755301803553108,0.08031621803554471,0.13999999999998636,0.0172368
113,2023-07-03 08:05:30.522013321,1,194.15,60.0,-0.1418632182042959,0.025398218204301576,0.09999999999999432,0.016465
116,2023-07-03 08:05:44.839501156,2,194.13,180.0,-0.32657512322316806,0.17959252322317262,0.12999999999999545,0.0169826
119,2023-07-03 08:05:44.839501156,2,194.11,170.0,-0.3255944218487264,0.1586118218487491,0.14999999999997726,0.0169826
129,2023-07-03 08:06:13.187564319,1,194.13,56.0,-0.25532552742167824,0.18835822742166689,0.05000000000001137,0.0169673
135,2023-07-03 08:06:13.187564319,2,194.07,56.0,-0.0786289749764057,0.062212674976405695,0.0,0.0164163
156,2023-07-03 08:06:39.827771604,1,194.0,240.0,-0.1229013046446277,0.03591850464463453,0.06999999999999318,0.0169828
158,2023-07-03 08:06:43.388629770,2,194.07,133.0,-0.041866318204301575,0.025398218204301576,0.0,0.0164681
165,2023-07-03 08:07:08.276481637,2,194.0,107.0,-0.10185851820427543,0.025398218204301576,0.05999999999997385,0.0164603
192,2023-07-03 08:07:54.508834193,1,194.01,145.0,-0.2472165180355504,0.08031621803554471,0.15000000000000568,0.0169003
196,2023-07-03 08:08:02.523837858,2,194.14,117.0,-0.10703381803556404,0.08031621803554471,0.010000000000019327,0.0167176
199,2023-07-03 08:08:05.494156630,1,194.07,156.0,-0.19807737281721882,0.1015928728172063,0.0800000000000125,0.0164845
206,2023-07-03 08:08:35.298678941,2,194.06,157.0,-0.13699821803553675,0.08031621803554471,0.03999999999999204,0.016682
207,2023-07-03 08:08:35.299423264,2,194.05,27.0,-0.1745262139338865,0.10775551393390358,0.04999999999998295,0.0167707
211,2023-07-03 08:08:43.196226286,1,194.09,123.0,-0.062382304644625436,0.03591850464463453,0.009999999999990905,0.0164638
214,2023-07-03 08:08:53.343838795,2,194.06,123.0,-0.18484697612859524,0.09836687612860205,0.06999999999999318,0.0164801
223,2023-07-03 08:09:44.674267162,1,194.0,58.0,-0.49754065573566464,0.4507736557356635,0.030000000000001137,0.016767
229,2023-07-03 08:09:44.674267162,2,194.0,58.0,-0.07252981820430271,0.025398218204301576,0.030000000000001137,0.0171316
232,2023-07-03 08:09:44.674366528,1,194.0,107.0,-0.27231290125323754,0.2257443012532364,0.030000000000001137,0.0165686
235,2023-07-03 08:09:44.674469331,2,193.99,107.0,-0.3965694230200855,0.3801257230200855,0.0,0.0164437
267,2023-07-03 08:11:31.974725138,1,194.0,165.0,-0.28519907645094184,0.2687894764509418,0.0,0.0164096
272,2023-07-03 08:11:31.974764913,2,194.0,140.0,-0.06063440435157111,0.04399100435157111,0.0,0.0166434
281,2023-07-03 08:11:43.012969083,2,194.07,25.0,-0.17709803607108943,0.16063243607108943,0.0,0.0164656
314,2023-07-03 08:14:27.759016393,1,194.05,91.0,-0.14709911803552767,0.08031621803554471,0.04999999999998295,0.0167829
315,2023-07-03 08:14:27.759016393,2,194.04,64.0,-0.157099118035547,0.08031621803554471,0.060000000000002274,0.0167829
316,2023-07-03 08:14:27.759016393,2,194.04,27.0,-0.04187971820430157,0.025398218204301576,0.0,0.0164815
337,2023-07-03 08:15:48.500381446,1,194.05,82.0,-0.4256459464463282,0.35918504644634525,0.04999999999998295,0.0164609
347,2023-07-03 08:16:13.914513303,2,194.02,82.0,-0.13070566012724355,0.08423636012724241,0.030000000000001137,0.0164693
430,2023-07-03 08:22:05.585438246,1,193.81,203.0,-0.08252741820429361,0.025398218204301576,0.03999999999999204,0.0171292
431,2023-07-03 08:22:05.585438246,1,193.81,221.0,-0.08252741820429361,0.025398218204301576,0.03999999999999204,0.0171292
432,2023-07-03 08:22:05.585438246,2,193.81,131.0,-0.08252741820429361,0.025398218204301576,0.03999999999999204,0.0171292
436,2023-07-03 08:22:12.711809001,2,193.82,103.0,-0.09075430435157225,0.04399100435157111,0.030000000000001137,0.0167633
